,Abstract,Year
1589,"Objective: To evaluate the accuracy of a deep learning-based automated segmentation of the left ventricle (LV) myocardium using cardiac CT. Materials and Methods: To develop a fully automated algorithm, 100 subjects with coronary artery disease were randomly selected as a development set (50 training / 20 validation / 30 internal test). An experienced cardiac radiologist generated the manual segmentation of the development set. The trained model was evaluated using 1000 validation set generated by an experienced technician. Visual assessment was performed to compare the manual and automatic segmentations. In a quantitative analysis, sensitivity and specificity were calculated according to the number of pixels where two three-dimensional masks of the manual and deep learning segmentations overlapped. Similarity indices, such as the Dice similarity coefficient (DSC), were used to evaluate the margin of each segmented masks. Results: The sensitivity and specificity of automated segmentation for each segment (1–16 segments) were high (85.5– 100.0%). The DSC was 88.3 ± 6.2%. Among randomly selected 100 cases, all manual segmentation and deep learning masks for visual analysis were classified as very accurate to mostly accurate and there were no inaccurate cases (manual vs. deep learning: very accurate, 31 vs. 53; accurate, 64 vs. 39; mostly accurate, 15 vs. 8). The number of very accurate cases for deep learning masks was greater than that for manually segmented masks. Conclusion: We present deep learning-based automatic segmentation of the LV myocardium and the results are comparable to manual segmentation data with high sensitivity, specificity, and high similarity scores. © 2020 The Korean Society of Radiology.",2020
1879,"Objectives: Liver transplantation (LT) is associated with high stress on the cardiovascular system. Ruling out coronary artery disease (CAD) is an important part of evaluation for LT. The aim of our study was to assess whether CT-derived fractional flow reserve (CT-FFR) allows for differentiation of hemodynamically significant and non-significant coronary stenosis in patients evaluated for LT. Methods: In total, 201 patients undergoing LT evaluation were included in the study. The patients received coronary computed tomography angiography (CCTA) to rule out CAD and invasive coronary angiography (ICA) to further evaluate coronary lesions found in CCTA if a significant (≥ 50 % on CCTA) stenosis was suspected. CT-FFR was computed from CCTA datasets using a machine learning–based algorithm and compared to ICA as a standard of reference. Coronary lesions with CT-FFR ≤ 0.80 were defined as hemodynamically significant. Results: In 127 of 201 patients (63%), an obstructive CAD was ruled out by CCTA. In the remaining 74 patients (37%), at least one significant stenosis was suspected in CCTA. Compared to ICA, sensitivity, specificity, PPV, and NPV of the CT-FFR measurements were 71% (49–92%), 90% (82–98%), 67% (45–88%), and 91% (84–99%), respectively. The diagnostic accuracy was 85% (85–86%). In 69% of cases (52 of 75 lesions), additional analysis by CT-FFR correctly excluded the hemodynamic significance of the stenosis. Conclusions: Machine learning–based CT-FFR seems to be a very promising noninvasive approach for exclusion of hemodynamic significant coronary stenoses in patients undergoing evaluation for LT and could help to reduce the rate of invasive coronary angiography in this high-risk population. Key Points: • Machine learning–based computed tomography-derived fractional flow reserve (CT-FFR) seems to be a very promising noninvasive approach for exclusion of hemodynamic significance of coronary stenoses in patients undergoing evaluation for liver transplantation and could help to reduce the rate of invasive coronary angiography in this high-risk population. © 2022, The Author(s).",2022
1786,"Background: Diagnostic pathways for myocardial infarction rely on fixed troponin thresholds, which do not recognise that troponin varies by age, sex, and time within individuals. To overcome this limitation, we recently introduced a machine learning algorithm that predicts the likelihood of myocardial infarction. Our aim was to evaluate whether this algorithm performs well in routine clinical practice and predicts subsequent events. Methods: The myocardial-ischaemic-injury-index (MI3) algorithm was validated in a prespecified exploratory analysis using data from a multi-centre randomised trial done in Scotland, UK that included consecutive patients with suspected acute coronary syndrome undergoing serial high-sensitivity cardiac troponin I measurement. Patients with ST-segment elevation myocardial infarction were excluded. MI3 incorporates age, sex, and two troponin measurements to compute a value (0–100) reflecting an individual's likelihood of myocardial infarction during the index visit and estimates diagnostic performance metrics (including area under the receiver-operating-characteristic curve, and the sensitivity, specificity, negative predictive value, and positive predictive value) at the computed score. Model performance for an index diagnosis of myocardial infarction (type 1 or type 4b), and for subsequent myocardial infarction or cardiovascular death at 1 year was determined using the previously defined low-probability threshold (1·6) and high-probability MI3 threshold (49·7). The trial is registered with ClinicalTrials.gov, NCT01852123. Findings: In total, 20 761 patients (64 years [SD 16], 9597 [46%] women) enrolled between June 10, 2013, and March 3, 2016, were included from the High-STEACS trial cohort, of whom 3272 (15·8%) had myocardial infarction. MI3 had an area under the receiver-operating-characteristic curve of 0·949 (95% CI 0·946–0·952) identifying 12 983 (62·5%) patients as low-probability for myocardial infarction at the pre-specified threshold (MI3 score <1·6; sensitivity 99·3% [95% CI 99·0–99·6], negative predictive value 99·8% [99·8–99·9]), and 2961 (14·3%) as high-probability at the pre-specified threshold (MI3 score ≥49·7; specificity 95·0% [94·6–95·3], positive predictive value 70·4% [68·7–72·0]). At 1 year, subsequent myocardial infarction or cardiovascular death occurred more often in high-probability patients than low-probability patients (520 [17·6%] of 2961 vs 197 [1·5%] of 12 983], p<0·0001). Interpretation: In consecutive patients undergoing serial cardiac troponin measurement for suspected acute coronary syndrome, the MI3 algorithm accurately estimated the likelihood of myocardial infarction and predicted subsequent adverse cardiovascular events. By providing individual probabilities the MI3 algorithm could improve the diagnosis and assessment of risk in patients with suspected acute coronary syndrome. Funding: Medical Research Council, British Heart Foundation, National Institute for Health Research, and NHSX. © 2022 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license",2022
1981,"Despite the evidence of improved patients' outcome, fractional flow reserve (FFR) is underused in current everyday practice. We aimed to evaluate the feasibility of a novel automated artificial intelligence angiography-based FFR software (AutocathFFR) as a decision supporting tool for interventional cardiologists. AutocathFFR was performed on angiographic images of patients who underwent coronary angiography with a pressure wire FFR measurement. Sensitivity and specificity for detection of FFR cut-off of 0.8 were calculated. Thirty-one patients were included in the present study, with a mean age of 64 ± 10 years, 80% were males, 32% patients had diabetes, 39% had previous percutaneous coronary intervention. The left anterior descending artery was the target vessel in 80% of patients. Automatic lesion detection was successful in all of the lesions with FFR value of ≤0.8. The sensitivity of AutocathFFR for predicting a wire based FFR ≤0.8 was 88% and the specificity for FFR >0.8 was 93%, with a positive predictive value of 94% and negative predictive value of 87%, indicating an accuracy level of 90% and area under the curve of 0.91. AutocathFFR has excellent accuracy in prediction of wire based FFR and is a promising technology that may facilitate appropriate decision and treatment choices for coronary artery disease patients. © 2020 Elsevier Inc.",2021
1917,"Acute kidney injury (AKI) is one of the most severe consequences of kidney injury, and it will also cause or aggravate the complications by the fast decline of kidney excretory function. Accurate AKI prediction, including the AKI case, AKI stage, and AKI onset time interval, can provide adequate support for effective interventions. Besides, discovering how the medical features affect the AKI result may also provide supporting information for disease treatment. An attention-based temporal neural network approach was employed in this study for AKI prediction and for the analysis of the impact of medical features from temporal electronic health record (EHR) data of patients before AKI diagnosis. We used the publicly available dataset provided by the Medical Information Mart for Intensive Care (MIMIC) for model training, validation, and testing, and then the model was applied in clinical practice. The improvement of AKI case prediction is around 5% AUC (area under the receiver operating characteristic curve), and the AUC value of AKI stage prediction on AKI stage 3 is over 82%. We also analyzed the data by two steps: the associations between the medical features and the AKI case (positive or inverse) and the extent of the impact of medical features on AKI prediction result. It shows that features, such as lactate, glucose, creatinine, blood urea nitrogen (BUN), prothrombin time (PT), and partial thromboplastin time (PTT), are positively associated with the AKI case, while there are inverse associations between the AKI case and features such as platelet, hemoglobin, hematocrit, urine, and international normalized ratio (INR). The laboratory test features such as urine, glucose, creatinine, sodium, and blood urea nitrogen and the medication features such as nonsteroidal anti-inflammatory drugs, agents acting on the renin–angiotensin system, and lipid-lowering medication were detected to have higher weights than other features in the proposed model, which may imply that these features have a great impact on the AKI case. © Copyright © 2021 Chen, Chen, Sun, Guo, Li, Huang, Zhang, Wu, Liu, Xu, Fang and Lin.",2021
1628,"Objective: To determine the potential impact of on-site CT-derived fractional flow reserve (CT-FFR) on the diagnostic efficiency and effectiveness of coronary CT angiography (CCTA) in patients with obstructive coronary artery disease (CAD) on CCTA. Methods: This observational cohort study included patients with suspected CAD who had been randomized to cardiac CT in the CRESCENT I and II trials. On-site CT-FFR was blindly performed in all patients with at least one ≥ 50% stenosis on CCTA and no exclusion criteria for CT-FFR. We retrospectively assessed the effect of adding CT-FFR to the CT protocol in patients with a stenosis ≥ 50% on CCTA in terms of diagnostic effectiveness, i.e., the number of additional tests required to determine the final diagnosis, reclassification of the initial management strategy, and invasive coronary angiography (ICA) efficiency, i.e., ICA rate without ≥ 50% CAD. Results: Fifty-three patients out of the 372 patients (14%) had at least one ≥ 50% stenosis on CCTA of whom 42/53 patients (79%) had no exclusion criteria for CT-FFR. CT-FFR showed a hemodynamically significant stenosis (≤ 0.80) in 27/53 patients (51%). The availability of CT-FFR would have reduced the number of patients requiring additional testing by 57%-points compared with CCTA alone (37/53 vs. 7/53, p < 0.001). The initial management strategy would have changed for 30 patients (57%, p < 0.001). Reserving ICA for patients with a CT-FFR ≤ 0.80 would have reduced the number of ICA following CCTA by 13%-points (p = 0.016). Conclusion: Implementation of on-site CT-FFR may change management and improve diagnostic efficiency and effectiveness in patients with obstructive CAD on CCTA. Key Points: • The availability of on-site CT-FFR in the diagnostic evaluation of patients with obstructive CAD on CCTA would have significantly reduced the number of patients requiring additional testing compared with CCTA alone. • The implementation of on-site CT-FFR would have changed the initial management strategy significantly in the patients with obstructive CAD on CCTA. • Restricting ICA to patients with a positive CT-FFR would have significantly reduced the ICA rate in patients with obstructive CAD on CCTA. © 2020, European Society of Radiology.",2020
1518,"Background: Coronary CT angiography (CCTA) is a complicated CT exam in comparison to other CT protocols. Exam success highly depends on image assessment of experienced radiologist and the procedure is often time-consuming. This study aims to evaluate feasibility of automatic CCTA reconstruction in 0.25 s rotation time, 16 cm coverage CT scanner with best phase selection and AI-assisted motion correction. Methods: CCTA exams of 90 patients with heart rates higher than 75 bpm were included in this study. Two image series were reconstructed—one at automatically selected phase and another with additional motion correction. All reconstructions were performed without manual interaction of radiologist. A four-point Likert scale rating system was used to evaluate the image quality of coronary artery segment by two experienced radiologists, according to the 18-segment model. Analysis was done on per-segment basis. Results: Total 1194 out of the 1620 segments were identified for quality evaluation in 90 patients. After automatic best phase selection, 1172 segments (98.3%) were rated as having diagnostic image quality (scores 2–4) and the average score is 3.64 ± 0.55. When motion corrections were applied, diagnostic segment number increases to 1192 (99.8%) and the average score is 3.85 ± 0.37. Conclusions: With the help of 0.25 s rotation speed, 16-cm z-coverage and AI-assisted motion correction algorithm, CCTA exam reconstruction could be performed with minimum radiologist involvement and still meet image quality requirement. © 2021, The Author(s).",2021
1885,"The CHADS2 and CHA2DS2-VASc scores are widely used to assess ischemic risk in the patients with atrial fibrillation (AF). However, the discrimination performance of these scores is limited. Using the data from a community-based prospective cohort study, we sought to construct a machine learning-based prediction model for cerebral infarction in patients with AF, and to compare its performance with the existing scores. All consecutive patients with AF treated at 81 study institutions from March 2011 to May 2017 were enrolled (n = 4396). The whole dataset was divided into a derivation cohort (n = 1005) and validation cohort (n = 752) after excluding the patients with valvular AF and anticoagulation therapy. Using the derivation cohort dataset, a machine learning model based on gradient boosting tree algorithm (ML) was built to predict cerebral infarction. In the validation cohort, the receiver operating characteristic area under the curve of the ML model was higher than those of the existing models according to the Hanley and McNeil method: ML, 0.72 (95%CI, 0.66–0.79); CHADS2, 0.61 (95%CI, 0.53–0.69); CHA2DS2-VASc, 0.62 (95%CI, 0.54–0.70). As a conclusion, machine learning algorithm have the potential to perform better than the CHADS2 and CHA2DS2-VASc scores for predicting cerebral infarction in patients with non-valvular AF. © The Author(s) 2021.",2022
1935,"Background: Mitral annular plane systolic excursion (MAPSE) and left ventricular (LV) early diastolic velocity (e’) are key metrics of systolic and diastolic function, but not often measured by cardiovascular magnetic resonance (CMR). Its derivation is possible with manual, precise annotation of the mitral valve (MV) insertion points along the cardiac cycle in both two and four-chamber long-axis cines, but this process is highly time-consuming, laborious, and prone to errors. A fully automated, consistent, fast, and accurate method for MV plane tracking is lacking. In this study, we propose MVnet, a deep learning approach for MV point localization and tracking capable of deriving such clinical metrics comparable to human expert-level performance, and validated it in a multi-vendor, multi-center clinical population. Methods: The proposed pipeline first performs a coarse MV point annotation in a given cine accurately enough to apply an automated linear transformation task, which standardizes the size, cropping, resolution, and heart orientation, and second, tracks the MV points with high accuracy. The model was trained and evaluated on 38,854 cine images from 703 patients with diverse cardiovascular conditions, scanned on equipment from 3 main vendors, 16 centers, and 7 countries, and manually annotated by 10 observers. Agreement was assessed by the intra-class correlation coefficient (ICC) for both clinical metrics and by the distance error in the MV plane displacement. For inter-observer variability analysis, an additional pair of observers performed manual annotations in a randomly chosen set of 50 patients. Results: MVnet achieved a fast segmentation (<1 s/cine) with excellent ICCs of 0.94 (MAPSE) and 0.93 (LV e’) and a MV plane tracking error of −0.10 ± 0.97 mm. In a similar manner, the inter-observer variability analysis yielded ICCs of 0.95 and 0.89 and a tracking error of −0.15 ± 1.18 mm, respectively. Conclusion: A dual-stage deep learning approach for automated annotation of MV points for systolic and diastolic evaluation in CMR long-axis cine images was developed. The method is able to carefully track these points with high accuracy and in a timely manner. This will improve the feasibility of CMR methods which rely on valve tracking and increase their utility in a clinical setting. © 2021, The Author(s).",2021
2029,"Background: The aim is to compare the machine learning-based coronary-computed tomography fractional flow reserve (CT-FFRML) and coronary-computed tomographic morphological plaque characteristics with the resting full-cycle ratio (RFR™) as a novel invasive resting pressure-wire index for detecting hemodynamically significant coronary artery stenosis. Methods: In our single center study, patients with coronary artery disease (CAD) who had a clinically indicated coronary computed tomography angiography (cCTA) and subsequent invasive coronary angiography (ICA) with pressure wire-measurement were included. On-site prototype CT-FFRML software and on-site CT-plaque software were used to calculate the hemodynamic relevance of coronary stenosis. Results: We enrolled 33 patients (70% male, mean age 68 ± 12 years). On a per-lesion basis, the area under the receiver operating characteristic curve (AUC) of CT-FFRML (0.90) was higher than the AUCs of the morphological plaque characteristics length/minimal luminal diameter4 (LL/MLD4; 0.80), minimal luminal diameter (MLD; 0.77), remodeling index (RI; 0.76), degree of luminal diameter stenosis (0.75), and minimal luminal area (MLA; 0.75). Conclusion: CT-FFRML and morphological plaque characteristics show a significant correlation to detected hemodynamically significant coronary stenosis. Whole CT-FFRML had the best discriminatory power, using RFR™ as the reference standard. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. T.",2020
1960,"Background: Advances in omics and computational Artificial Intelligence (AI) have been said to be key to meeting the objectives of precision cardiovascular medicine. The focus of precision medicine includes a better assessment of disease risk and understanding of disease mechanisms. Our objective was to determine whether significant epigenetic changes occur in isolated, non-syndromic CoA. Further, we evaluated the AI analysis of DNA methylation for the prediction of CoA. Methods: Genome-wide DNA methylation analysis of newborn blood DNA was performed in 24 isolated, non-syndromic CoA cases and 16 controls using the Illumina HumanMethylation450 BeadChip arrays. Cytosine nucleotide (CpG) methylation changes in CoA in each of 450,000 CpG loci were determined. Ingenuity pathway analysis (IPA) was performed to identify molecular and disease pathways that were epigenetically dysregulated. Using methylation data, six artificial intelligence (AI) platforms including deep learning (DL) was used for CoA detection. Results: We identified significant (FDR p-value ≤.05) methylation changes in 65 different CpG sites located in 75 genes in CoA subjects. DL achieved an AUC (95% CI) = 0.97 (0.80–1) with 95% sensitivity and 98% specificity. Gene ontology (GO) analysis yielded epigenetic alterations in important cardiovascular developmental genes and biological processes: abnormal morphology of cardiovascular system, left ventricular dysfunction, heart conduction disorder, thrombus formation, and coronary artery disease. Conclusion: In an exploratory study we report the use of AI and epigenomics to achieve important objectives of precision cardiovascular medicine. Accurate prediction of CoA was achieved using a newborn blood spot. Further, we provided evidence of a significant epigenetic etiology in isolated CoA development. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",2022
1737,"Background: Little is known about the association of comorbidities with sex and age at diagnosis in Sjögren's disease. We tested the hypothesis that sex differences occur in comorbidities in patients with Sjögren's disease. Methods: Patients with Sjögren's disease were identified from 11/1974 to 7/2018 in the Mayo Clinic electronic medical record and assessed for 22 comorbidities according to sex and age at diagnosis. Results: Of the 13,849 patients identified with Sjögren's disease, 11,969 (86%) were women and 1,880 (14%) men, primarily white (88%) with a sex ratio of 6.4:1 women to men. The mean age at diagnosis was 57 years for women and 59.7 years for men, and 5.6% had a diagnosis of fibromyalgia at Sjögren's diagnosis. Men with Sjögren's disease were more likely than women to be a current or past smoker. The average time to diagnosis of comorbidities after diagnosis of Sjögren's disease was 2.6 years. The top comorbidities in patients with Sjögren's disease were fibromyalgia (25%), depression (21.2%) and pain (16.4%). Comorbidities that occurred more often in women were hypermobile syndromes (31:1), CREST (29:1), migraine (23:1), Ehlers-Danlos syndrome (EDS) (22:1), Raynaud's syndrome (15:1), SLE (13:1), systemic sclerosis (SSc) (13:1), and fibromyalgia (12:1). Women with Sjögren's disease were at increased risk of developing hypermobile syndromes (RR 7.27, CI 1.00–52.71, p = 0.05), EDS (RR 4.43, CI 1.08–18.14, p = 0.039), CREST (RR 4.24, CI 1.56–11.50, p = 0.005), migraine (RR 3.67, CI 2.39–5.62, p < 0.001), fibromyalgia (RR 2.26, CI 1.92–2.66, p < 0.001), Raynaud's syndrome (RR 2.29, CI 1.77–2.96, p < 0.001), SLE (RR 2.13, CI 1.64–2.76, p < 0.001), and SSc (RR 2.05 CI 1.44–2.92; p < 0.001). In contrast, men with Sjögren's were at increased risk for developing myocardial infarction (RR 0.44, CI 0.35–0.55, p < 0.001), atherosclerosis/CAD (RR 0.44, CI 0.39–0.49, p < 0.001), cardiomyopathy (RR 0.63, CI 0.46–0.86, p = 0.003), stroke (RR 0.66 CI 0.51–0.85, p = 0.001), and congestive heart failure (RR 0.70, CI 0.57–0.85, p < 0.001). Conclusions: The top comorbidities in Sjögren's disease were fibromyalgia, depression, and pain. Women with Sjögren's disease had a higher relative risk of developing fibromyalgia, depression, pain, migraine, hypermobile syndrome, EDS and other rheumatic autoimmune diseases. Men with Sjögren's disease had higher risk of developing cardiovascular diseases. Copyright © 2022 Bruno, Morales-Lara, Bittencourt, Siddiqui, Bommarito, Patel, Sousou, Salomon, Paloka, Watford, Hodge, Lieberman, Rozen, Atwal, Dorsher, Seim and Fairweather.",2022
1947,"This study was aimed to determine the association between potential plasma lipid biomarkers and early screening and prognosis of Acute myocardial infarction (AMI). In the present study, a total of 795 differentially expressed lipid metabolites were detected based on ultra-performance liquid chromatography tandem mass spectrometry (UPLC-MS/MS). Out of these metabolites, 25 lipid metabolites were identified which showed specifical expression in the AMI group compared with the healthy control (HC) group and unstable angina (UA) group. Then, we applied the least absolute shrinkage and selection operator (LASSO) and support vector machine-recursive feature elimination (SVM-RFE) methods to obtain three lipid molecules, including CarnitineC18:1-OH, CarnitineC18:2-OH and FFA (20:1). The three lipid metabolites and the diagnostic model exhibited well predictive ability in discriminating between AMI patients and UA patients in both the discovery and validation sets with an area under the curve (AUC) of 0.9. Univariate and multivariate logistic regression analyses indicated that the three lipid metabolites may serve as potential biomarkers for diagnosing AMI. A subsequent 1-year follow-up analysis indicated that the three lipid biomarkers also had prominent performance in predicting re-admission of patients with AMI due to cardiovascular events. In summary, we used quantitative lipid technology to delineate the characteristics of lipid metabolism in patients with AMI, and identified potential early diagnosis biomarkers of AMI via machine learning approach. Copyright © 2022 Liu, Tang, Lu, Yu, Xu, Zhang, Chen, Dai and Li.",2022
1541,"The assessment of myocardial perfusion has become increasingly important in the early diagnosis of coronary artery disease. Currently, the process of perfusion assessment is time-consuming and subjective. Although automated methods by threshold processing have been proposed, they cannot obtain an accurate perfusion assessment. Thus, there is a great clinical demand to obtain a rapid and accurate assessment of myocardial perfusion through a standard procedure using an automated algorithm. In this work, we present a spatio-temporal multi-task network cascade (ST-MNC) to provide an accurate and robust assessment of myocardial perfusion. The proposed network captures patch-based spatio-temporal representations for each pixel through a spatio-temporal encoder-decoder network. Then the multi-task network cascade uses spatio-temporal representations as shared features to predict various perfusion parameters and myocardial ischemic regions. Extensive experiments on CT images of 232 subjects demonstrate ST-MNC could produce a good approximation for perfusion parameters and an accurate classification for ischemic regions. These results show that our proposed method can provide a fast and accurate assessment of myocardial perfusion. © 2021 Elsevier B.V.",2021
1982,"Rationale & Objective: In the general population, there is an association between higher levels of physical activity and lower risk for cardiovascular events and mortality, but this relationship has not been well evaluated in chronic kidney disease (CKD). We investigated the association between self-reported physical activity and outcomes in a CKD cohort. Study Design: Prospective cohort study. Setting & Participants: 3,926 participants in the Chronic Renal Insufficiency Cohort (CRIC) Study. Exposure: Time-updated self-reported physical activity assessed by (1) quartile of moderate-to-vigorous physical activity (MVPA) and (2) meeting guideline-recommended level of physical activity (categorized as active, meeting guidelines; active, not meeting guidelines; or inactive). Outcome: Atherosclerotic events (myocardial infarction, stroke, or peripheral artery disease), incident heart failure, and all-cause and cardiovascular death. Analytical Approach: Cox proportional hazards regression. Results: At baseline, compared with the lowest MVPA quartile, those in the highest quartile were more likely to be younger, male, not have prevalent cardiovascular disease, and have higher estimated glomerular filtration rate. Overall, 51% met the physical activity guidelines; of those who did not, 30% were inactive. During the median follow-up period of 13.4 years, there were 772 atherosclerotic events, 848 heart failure events, and 1,553 deaths, and 420 cardiovascular deaths. Compared with the participants in the lowest MVPA quartile, the highest quartile had a lower risk of atherosclerotic events (HR, 0.64 [95% CI, 0.51-0.79]), incident heart failure (HR, 0.71 [95% CI, 0.58-0.87]), and all-cause and cardiovascular death (HRs of 0.54 [95% CI, 0.46-0.63] and 0.47 [95% CI, 0.35-0.64], respectively). The findings were similar for analyses evaluating recommended level of physical activity. Limitations: Self-reported physical activity may result in some degree of misclassification. Conclusions: Higher self-reported physical activity was associated with lower risk of cardiovascular events and mortality in CKD patients, which may have important implications for clinical practice and the design of interventional studies. Plain-Language Summary: In this long-term study of 3,926 adults with chronic kidney disease, we found that individuals with higher levels of physical activity were less likely to experience an atherosclerotic event (for example, a heart attack, stroke, or peripheral arterial disease), new-onset heart failure, and death as compared with those with lower levels of physical activity. The findings were similar for the analyses evaluating adherence to guideline-recommended level of physical activity (that is, for more than 150 minutes per week), and they strengthen the evidence supporting the current guideline recommendations. © 2022 National Kidney Foundation, Inc.",2022
1721,[No abstract available],2022
1799,"Aim To discuss ethical issues related to a complex study (PROFID) involving the development of a new, partly artificial intelligence-based, prediction model to enable personalised decision-making about the implantation of an implantable cardioverter defibrillator (ICD) in postmyocardial infarction patients, and a parallel non-inferiority and superiority trial to test decision-making informed by that model. Method The position expressed in this paper is based on an analysis of the PROFID trials using concepts from high-profile publications in the ethical literature. Results We identify ethical issues related to the testing of the model in the treatment setting, and to both the superiority and the non-inferiority trial. We underline the need for ethical-empirical studies about these issues, also among patients, as a parallel to the actual trials. The number of ethics committees involved is an organisational, but also an ethical challenge. Conclusion The PROFID trials, and probably other studies of similar scale and complexity, raise questions that deserve dedicated parallel ethics and social science research, but do not constitute a generic obstacle. A harmonisation procedure, comparable to the Voluntary Harmonization Procedure (VHP) for medication trials, could be needed for this type of trials.  © 2021 Massachussetts Medical Society. All rights reserved.",2021
1667,"Background: The current epidemic of opioid overdoses in the United States necessitates a robust public health and clinical response. We described patterns of non-fatal opioid overdoses (NFOODs) in a small western region using data from the 9-1-1 Computer Assisted Dispatch (CAD) record and electronic Patient Clinical Records (ePCR) completed by EMS responders. We determined whether CAD and ePCR variables could identify NFOOD cases in 9-1-1 data for intervention and surveillance efforts. Methods: We conducted a retrospective analysis of 1 year of 9-1-1 emergency medical CAD and ePCR (including naloxone administration) data from the sole EMS provider in the response area. Cases were identified based on clinician review of the ePCR, and categorized as definitive NFOOD, probable NFOOD, or non-OOD. Sensitivity, specificity, positive and negative predictive values (PPV and NPV) of the most prevalent CAD and ePCR variables were calculated. We used a machine learning technique—Random-Forests (RF) modeling—to optimize our ability to accurately predict NFOOD cases within census blocks. Results: Of 37,960 9-1-1 calls, clinical review identified 158 NFOOD cases (0.4%), of which 123 (77.8%) were definitive and 35 (22.2%) were probable cases. Overall, 106 (67.1%) received naloxone from the EMS responder at the scene. As a predictor of NFOOD, naloxone administration by paramedics had 67.1% sensitivity, 99.6% specificity, 44% PPV, and 99.9% NPV. Using CAD variables alone achieved a sensitivity of 36.7% and specificity of 99.7%. Combining ePCR variables with CAD variables increased the diagnostic accuracy with the best RF model yielding 75.9% sensitivity, 99.9% specificity, 71.4% PPV, and 99.9% NPV. Conclusion: CAD problem type variables and naloxone administration, used alone or in combination, had sub-optimal predictive accuracy. However, a Random Forests modeling approach improved accuracy of identification, which could foster improved surveillance and intervention efforts. We identified the set of NFOODs that EMS encountered in a year and may be useful for future surveillance efforts. © 2021 National Association of EMS Physicians.",2022
1875,"Background: Researchers routinely evaluate novel biomarkers for incorporation into clinical risk models, weighing tradeoffs between cost, availability, and ease of deployment. For risk assessment in population health initiatives, ideal inputs would be those already available for most patients. We hypothesized that common hematologic markers (eg, hematocrit), available in an outpatient complete blood count without differential, would be useful to develop risk models for cardiovascular events. Methods: We developed Cox proportional hazards models for predicting heart attack, ischemic stroke, heart failure hospitalization, revascularization, and all-cause mortality. For predictors, we used 10 hematologic indices (eg, hematocrit) from routine laboratory measurements, collected March 2016 to May 2017 along with demographic data and diagnostic codes. As outcomes, we used neural network-based automated event adjudication of 1 028 294 discharge summaries. We trained models on 23 238 patients from one hospital in Boston and evaluated them on 29 671 patients from a second one. We assessed calibration using Brier score and discrimination using Harrell's concordance index. In addition, to determine the utility of high-dimensional interactions, we compared our proportional hazards models to random survival forest models. Results: Event rates in our cohort ranged from 0.0067 to 0.075 per person-year. Models using only hematology indices had concordance index ranging from 0.60 to 0.80 on an external validation set and showed the best discrimination when predicting heart failure (0.80 [95% CI, 0.79-0.82]) and all-cause mortality (0.78 [0.77-0.80]). Compared with models trained only on demographic data and diagnostic codes, models that also used hematology indices had better discrimination and calibration. The concordance index of the resulting models ranged from 0.75 to 0.85 and the improvement in concordance index ranged up to 0.072. Random survival forests had minimal improvement over proportional hazards models. Conclusions: We conclude that low-cost, ubiquitous inputs, if biologically informative, can provide population-level readouts of risk. © 2022 Lippincott Williams and Wilkins. All rights reserved.",2022
1574,"Background and Objective: Cardiac perfusion magnetic resonance imaging (MRI) with first pass dynamic contrast enhancement (DCE) is a useful tool to identify perfusion defects in myocardial tissues. Automatic segmentation of the myocardium can lead to efficient quantification of perfusion defects. The purpose of this study was to investigate the usefulness of uncertainty estimation in deep convolutional neural networks for automatic myocardial segmentation. Methods: A U-Net segmentation model was trained on the cardiac cine data. Monte Carlo dropout sampling of the U-Net model was performed on the dynamic perfusion datasets frame-by-frame to estimate the standard deviation (SD) maps. The uncertainty estimate based on the sum of the SD values was used to select the optimal frames for endocardial and epicardial segmentations. DCE perfusion data from 35 subjects (14 subjects with coronary artery disease, 8 subjects with hypertrophic cardiomyopathy, and 13 healthy volunteers) were evaluated. The Dice similarity scores of the proposed method were compared with those of a semi-automatic U-Net segmentation method, which involved user selection of an image frame for segmentation in the cardiac perfusion dataset. Results: The proposed method was fully automatic and did not require manual labeling of the cardiac perfusion image data for model development. The mean Dice similarity score of the proposed automatic method was 0.806 (±0.096), which was comparable to the 0.808 (±0.084) Dice score of the semi-automatic U-Net segmentation method (intraclass correlation coefficient = 0.61, P < 0.001). Conclusions: Our study demonstrated the feasibility of applying an existing model trained on cardiac cine data to dynamic cardiac perfusion data to achieve robust and automatic segmentation of the myocardium. The uncertainty estimates can be used for screening purposes, which would facilitate the cases with high endocardial and epicardial uncertainty estimates to be sent for further evaluation and correction by human experts. © 2019 Elsevier B.V.",2020
